uid,SOC,TaskID,occupation_raw,occupation_canonical,task_statement,importance,onet_version
1729eef9074a,13-1031.00,21417,"Claims Adjusters, Examiners, and Investigators",Claim Adjuster Examiner And Investigators,Examine claims forms and other records to determine insurance coverage.,4.79,30.0
c01585a77e87,13-1031.00,21418,"Claims Adjusters, Examiners, and Investigators",Claim Adjuster Examiner And Investigators,Analyze information gathered by investigation and report findings and recommendations.,4.76,30.0
6b960dd94b6e,13-1031.00,21426,"Claims Adjusters, Examiners, and Investigators",Claim Adjuster Examiner And Investigators,Pay and process claims within designated authority level.,4.75,30.0
41b093137b88,13-1031.00,21423,"Claims Adjusters, Examiners, and Investigators",Claim Adjuster Examiner And Investigators,"Investigate, evaluate, and settle claims, applying technical knowledge and human relations skills to effect fair and prompt disposal of cases and to contribute to a reduced loss ratio.",4.74,30.0
d96f096ec745,13-1031.00,21428,"Claims Adjusters, Examiners, and Investigators",Claim Adjuster Examiner And Investigators,Verify and analyze data used in settling claims to ensure that claims are valid and that settlements are made according to company practices and procedures.,4.68,30.0
6d889d011b4a,13-1031.00,21419,"Claims Adjusters, Examiners, and Investigators",Claim Adjuster Examiner And Investigators,"Review police reports, medical treatment records, medical bills, or physical property damage to determine the extent of liability.",4.67,30.0
152285d36d4c,13-1031.00,21420,"Claims Adjusters, Examiners, and Investigators",Claim Adjuster Examiner And Investigators,Investigate and assess damage to property and create or review property damage estimates.,4.63,30.0
6c530bb850c8,13-1031.00,21421,"Claims Adjusters, Examiners, and Investigators",Claim Adjuster Examiner And Investigators,Interview or correspond with agents and claimants to correct errors or omissions and to investigate questionable claims.,4.62,30.0
e90b828c38df,13-1031.00,21422,"Claims Adjusters, Examiners, and Investigators",Claim Adjuster Examiner And Investigators,"Interview or correspond with claimants, witnesses, police, physicians, or other relevant parties to determine claim settlement, denial, or review.",4.59,30.0
95803fa092b4,13-1031.00,21429,"Claims Adjusters, Examiners, and Investigators",Claim Adjuster Examiner And Investigators,"Enter claim payments, reserves and new claims on computer system, inputting concise yet sufficient file documentation.",4.57,30.0
b4e7f5b367e2,13-1031.00,21425,"Claims Adjusters, Examiners, and Investigators",Claim Adjuster Examiner And Investigators,"Resolve complex, severe exposure claims, using high service oriented file handling.",4.49,30.0
9d10bc5cde5e,13-1031.00,21424,"Claims Adjusters, Examiners, and Investigators",Claim Adjuster Examiner And Investigators,Adjust reserves or provide reserve recommendations to ensure that reserve activities are consistent with corporate policies.,4.43,30.0
a13a277de4c7,13-1031.00,21432,"Claims Adjusters, Examiners, and Investigators",Claim Adjuster Examiner And Investigators,Confer with legal counsel on claims requiring litigation.,4.41,30.0
7bc7c61b111a,13-1031.00,21427,"Claims Adjusters, Examiners, and Investigators",Claim Adjuster Examiner And Investigators,"Examine claims investigated by insurance adjusters, further investigating questionable claims to determine whether to authorize payments.",4.39,30.0
1158293c4f78,13-1031.00,21430,"Claims Adjusters, Examiners, and Investigators",Claim Adjuster Examiner And Investigators,Refer questionable claims to investigator or claims adjuster for investigation or settlement.,4.29,30.0
e7fbc0cfa2e4,13-1031.00,21434,"Claims Adjusters, Examiners, and Investigators",Claim Adjuster Examiner And Investigators,"Maintain claim files, such as records of settled claims and an inventory of claims requiring detailed analysis.",4.29,30.0
072cdaa1602c,13-1031.00,21431,"Claims Adjusters, Examiners, and Investigators",Claim Adjuster Examiner And Investigators,Collect evidence to support contested claims in court.,4.26,30.0
b6191f4e2a22,13-1031.00,21436,"Claims Adjusters, Examiners, and Investigators",Claim Adjuster Examiner And Investigators,Supervise claims adjusters to ensure that adjusters have followed proper methods.,4.17,30.0
dfaf1138eeeb,13-1031.00,21433,"Claims Adjusters, Examiners, and Investigators",Claim Adjuster Examiner And Investigators,"Contact or interview claimants, doctors, medical specialists, or employers to get additional information.",4.04,30.0
5efbb91cf3dc,13-1031.00,21437,"Claims Adjusters, Examiners, and Investigators",Claim Adjuster Examiner And Investigators,Conduct detailed bill reviews to implement sound litigation management and expense control.,4.01,30.0
550aba6bafc4,13-1031.00,21440,"Claims Adjusters, Examiners, and Investigators",Claim Adjuster Examiner And Investigators,Communicate with reinsurance brokers to obtain information necessary for processing claims.,3.95,30.0
0708055337ce,23-2011.00,18491,Paralegals and Legal Assistants,Paralegal And Legal Assistant,"Prepare affidavits or other documents, such as legal correspondence, and organize and maintain documents in paper or electronic filing system.",4.38,30.0
3a55f5ca0fa9,23-2011.00,23994,Paralegals and Legal Assistants,Paralegal And Legal Assistant,"Prepare, edit, or review legal documents, including legislation, briefs, pleadings, appeals, wills, contracts, and real estate closing statements.",4.32,30.0
3db6d320b232,23-2011.00,21062,Paralegals and Legal Assistants,Paralegal And Legal Assistant,"Investigate facts and law of cases and search pertinent sources, such as public records and internet sources, to determine causes of action and to prepare cases.",4.06,30.0
dc35566b3c16,23-2011.00,18492,Paralegals and Legal Assistants,Paralegal And Legal Assistant,Prepare for trial by performing tasks such as organizing exhibits.,3.97,30.0
93eea469ed1a,23-2011.00,18493,Paralegals and Legal Assistants,Paralegal And Legal Assistant,Meet with clients and other professionals to discuss details of cases.,3.93,30.0
2e2364b781c0,23-2011.00,18494,Paralegals and Legal Assistants,Paralegal And Legal Assistant,File pleadings with court clerks.,3.89,30.0
9cebf9025932,23-2011.00,1636,Paralegals and Legal Assistants,Paralegal And Legal Assistant,"Gather and analyze research data, such as statutes, decisions, and legal articles, codes, and documents.",3.89,30.0
db852c6edb22,23-2011.00,1639,Paralegals and Legal Assistants,Paralegal And Legal Assistant,"Direct and coordinate law office activity, including delivery of subpoenas.",3.33,30.0
8b2ab848b21d,23-2011.00,18496,Paralegals and Legal Assistants,Paralegal And Legal Assistant,"Arbitrate disputes between parties and assist in the real estate closing process, such as by reviewing title searches.",2.99,30.0
a79efa23d0a0,43-4051.00,18565,Customer Service Representatives,Customer Service Representative,"Confer with customers by telephone or in person to provide information about products or services, take or enter orders, cancel accounts, or obtain details of complaints.",4.67,30.0
