SOC,TaskID,Task,Task Type,Incumbents Responding,Date,Domain Source,Importance,OccTitleRaw,OccTitleClean,uid,modality
23-2011.00,18491,"Prepare affidavits or other documents, such as legal correspondence, and organize and maintain documents in paper or electronic filing system.",Core,67.0,08/2024,Incumbent,4.38,Paralegals and Legal Assistants,Paralegal And Legal Assistant,07080553,TEXT
23-2011.00,23994,"Prepare, edit, or review legal documents, including legislation, briefs, pleadings, appeals, wills, contracts, and real estate closing statements.",Core,67.0,08/2024,Incumbent,4.32,Paralegals and Legal Assistants,Paralegal And Legal Assistant,3a55f5ca,TEXT
23-2011.00,21062,"Investigate facts and law of cases and search pertinent sources, such as public records and internet sources, to determine causes of action and to prepare cases.",Core,67.0,08/2024,Incumbent,4.06,Paralegals and Legal Assistants,Paralegal And Legal Assistant,3db6d320,TEXT
23-2011.00,18492,Prepare for trial by performing tasks such as organizing exhibits.,Core,67.0,08/2024,Incumbent,3.97,Paralegals and Legal Assistants,Paralegal And Legal Assistant,dc35566b,TEXT
23-2011.00,18493,Meet with clients and other professionals to discuss details of case.,Core,67.0,08/2024,Incumbent,3.93,Paralegals and Legal Assistants,Paralegal And Legal Assistant,93eea469,TEXT
23-2011.00,1636,"Gather and analyze research data, such as statutes, decisions, and legal articles, codes, and documents.",Core,67.0,08/2024,Incumbent,3.89,Paralegals and Legal Assistants,Paralegal And Legal Assistant,9cebf902,TEXT
23-2011.00,18494,File pleadings with court clerk.,Supplemental,66.0,08/2024,Incumbent,3.89,Paralegals and Legal Assistants,Paralegal And Legal Assistant,2e2364b7,TEXT
23-2011.00,1639,"Direct and coordinate law office activity, including delivery of subpoenas.",Supplemental,67.0,08/2024,Incumbent,3.33,Paralegals and Legal Assistants,Paralegal And Legal Assistant,db852c6e,TEXT
23-2011.00,1638,Call upon witnesses to testify at hearing.,Supplemental,66.0,08/2024,Incumbent,2.99,Paralegals and Legal Assistants,Paralegal And Legal Assistant,d0cae549,TEXT
23-2011.00,18496,"Arbitrate disputes between parties and assist in the real estate closing process, such as by reviewing title searches.",Supplemental,66.0,08/2024,Incumbent,2.99,Paralegals and Legal Assistants,Paralegal And Legal Assistant,8b2ab848,TEXT
23-2011.00,1642,Appraise and inventory real and personal property for estate planning.,Supplemental,67.0,08/2024,Incumbent,2.9,Paralegals and Legal Assistants,Paralegal And Legal Assistant,7dda7be5,TEXT
23-2011.00,1641,Keep and monitor legal volumes to ensure that law library is up-to-date.,Supplemental,67.0,08/2024,Incumbent,2.67,Paralegals and Legal Assistants,Paralegal And Legal Assistant,3dfcc5c3,TEXT
