SOC,TaskID,Task,Task Type,Incumbents Responding,Date,Domain Source,Importance,OccTitleRaw,OccTitleClean,uid
23-2011.00,18491,"Prepare affidavits or other documents, such as legal correspondence, and organize and maintain documents in paper or electronic filing system.",Core,67.0,08/2024,Incumbent,4.38,Paralegals and Legal Assistants,Paralegal And Legal Assistant,07080553
23-2011.00,18492,Prepare for trial by performing tasks such as organizing exhibits.,Core,67.0,08/2024,Incumbent,3.97,Paralegals and Legal Assistants,Paralegal And Legal Assistant,dc35566b
23-2011.00,1636,"Gather and analyze research data, such as statutes, decisions, and legal articles, codes, and documents.",Core,67.0,08/2024,Incumbent,3.89,Paralegals and Legal Assistants,Paralegal And Legal Assistant,9cebf902
15-2051.01,16150,"Generate standard or custom reports summarizing business, financial, or economic data for review by executives, managers, clients, and other stakeholders.",Core,22.0,08/2024,Occupational Expert,4.64,Business Intelligence Analysts,Busines Intelligence Analyst,0dd1e9ca
15-2051.01,16143,"Disseminate information regarding tools, reports, or metadata enhancements.",Core,21.0,08/2024,Occupational Expert,3.65,Business Intelligence Analysts,Busines Intelligence Analyst,f260aa25
15-2051.01,16147,Analyze technology trends to identify markets for future product development or to improve sales of existing products.,Core,22.0,08/2024,Occupational Expert,3.22,Business Intelligence Analysts,Busines Intelligence Analyst,faa67d8f
43-4051.00,18565,"Confer with customers by telephone or in person to provide information about products or services, take or enter orders, cancel accounts, or obtain details of complaints.",Core,73.0,08/2022,Incumbent,4.67,Customer Service Representatives,Customer Service Representative,a79efa23
43-4051.00,2581,Contact customers to respond to inquiries or to notify them of claim investigation results or any planned adjustments.,Core,73.0,08/2022,Incumbent,4.22,Customer Service Representatives,Customer Service Representative,25c9f684
43-4051.00,2582,Refer unresolved customer grievances to designated departments for further investigation.,Core,72.0,08/2022,Incumbent,4.07,Customer Service Representatives,Customer Service Representative,b4ec494d
43-6013.00,777,Answer telephones and direct calls to appropriate staff.,Core,85.0,08/2021,Incumbent,4.64,Medical Secretaries and Administrative Assistants,Medical Secretary And Administrative Assistant,1b64c419
43-6013.00,781,"Maintain medical records, technical library, or correspondence files.",Core,85.0,08/2021,Incumbent,4.46,Medical Secretaries and Administrative Assistants,Medical Secretary And Administrative Assistant,85a846ff
43-6013.00,784,"Perform various clerical or administrative functions, such as ordering and maintaining an inventory of supplies.",Core,85.0,08/2021,Incumbent,3.6,Medical Secretaries and Administrative Assistants,Medical Secretary And Administrative Assistant,ab599408
25-2021.00,6540,"Instruct students individually and in groups, using teaching methods such as lectures, discussions, and demonstrations.",Core,62.0,08/2024,Incumbent,4.95,"Elementary School Teachers, Except Special Education",Elementary School Teacher Except Special Education,2bc72355
25-2021.00,6553,Enforce administration policies and rules governing students.,Core,62.0,08/2024,Incumbent,4.23,"Elementary School Teachers, Except Special Education",Elementary School Teacher Except Special Education,0c07452f
25-2021.00,6568,"Involve parent volunteers and older students in children's activities to facilitate involvement in focused, complex play.",Core,62.0,08/2024,Incumbent,3.24,"Elementary School Teachers, Except Special Education",Elementary School Teacher Except Special Education,f6d74921
29-2034.00,22807,"Position imaging equipment and adjust controls to set exposure time and distance, according to specification of examination.",Core,75.0,08/2022,Incumbent,4.95,Radiologic Technologists and Technicians,Radiologic Technologist And Technician,2886855a
29-2034.00,22820,"Perform procedures, such as linear tomography, mammography, sonograms, joint and cyst aspirations, routine contrast studies, routine fluoroscopy, or examinations of the head, trunk, or extremities under supervision of physician.",Core,59.0,08/2022,Incumbent,4.64,Radiologic Technologists and Technicians,Radiologic Technologist And Technician,ce0be4e8
29-2034.00,22821,Provide assistance in dressing or changing seriously ill or injured patients or patients with disabilities.,Core,75.0,08/2022,Incumbent,3.83,Radiologic Technologists and Technicians,Radiologic Technologist And Technician,db019963
13-1081.00,8932,"Maintain and develop positive business relationships with a customer's key personnel involved in, or directly relevant to, a logistics activity.",Core,24.0,07/2016,Occupational Expert,4.46,Logisticians,Logistician,8fc9d168
13-1081.00,8940,"Report project plans, progress, and results.",Core,24.0,07/2016,Occupational Expert,3.92,Logisticians,Logistician,27910ee5
13-1081.00,8947,Support the development of training materials and technical manuals.,Core,24.0,07/2016,Occupational Expert,3.0,Logisticians,Logistician,7e365caf
51-9061.00,12472,"Discard or reject products, materials, or equipment not meeting specifications.",Core,62.0,08/2020,Incumbent,4.68,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weigher,d90fb1a3
51-9061.00,12495,"Make minor adjustments to equipment, such as turning setscrews to calibrate instruments to required tolerances.",Core,61.0,08/2020,Incumbent,4.32,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weigher,ba045e2b
51-9061.00,20305,"Stack or arrange tested products for further processing, shipping, or packaging.",Core,62.0,08/2020,Incumbent,3.63,"Inspectors, Testers, Sorters, Samplers, and Weighers",Inspector Tester Sorter Sampler And Weigher,4f9791e2
43-3031.00,2487,"Operate computers programmed with accounting software to record, store, and analyze information.",Core,128.0,07/2017,Incumbent,4.76,"Bookkeeping, Accounting, and Auditing Clerks",Bookkeeping Accounting And Auditing Clerk,47817359
43-3031.00,2497,"Perform financial calculations, such as amounts due, interest charges, balances, discounts, equity, and principal.",Core,129.0,07/2017,Incumbent,4.32,"Bookkeeping, Accounting, and Auditing Clerks",Bookkeeping Accounting And Auditing Clerk,936aa3e5
43-3031.00,2509,"Match order forms with invoices, and record the necessary information.",Core,129.0,07/2017,Incumbent,4.12,"Bookkeeping, Accounting, and Auditing Clerks",Bookkeeping Accounting And Auditing Clerk,bbf22c00
43-5071.00,20276,"Examine shipment contents and compare with records, such as manifests, invoices, or orders, to verify accuracy.",Core,77.0,08/2019,Incumbent,4.22,"Shipping, Receiving, and Inventory Clerks",Shipping Receiving And Inventory Clerk,d21fc252
43-5071.00,4741,"Confer or correspond with establishment representatives to rectify problems, such as damages, shortages, or nonconformance to specifications.",Core,77.0,08/2019,Incumbent,3.95,"Shipping, Receiving, and Inventory Clerks",Shipping Receiving And Inventory Clerk,9652a31e
