SOC,TaskID,TaskText,TaskType,task_incumbents_responding,task_date_raw,task_domain_source,task_date,Importance,Relevance,ratings_source_im,ratings_source_rl,importance_n_respondents,relevance_n_respondents,ratings_month_im,ratings_month_rl,OccTitleRaw,Description,OccTitleClean,uid,retained_by_relevance_rule,dwa_ids,dwa_titles,dwa_count,soc_emerging_new_count,soc_emerging_revision_count,is_emerging_revision,hot_tech_count,in_demand_tech_count,top_hot_tech_examples,top_tools_examples,job_zone,svp_range,wc_electronic_mail,wc_exact_or_accurate,wc_face_to_face,wc_hands_on,wc_physical_proximity,wc_telephone,related_occ_count,top_related_titles,top_work_activities,vote1,vote2,vote3,modality,modality_agreement,modality_disagreement,modality_confidence,digital_amenable,amenability_reason,amenability_code,needs_stub,stub_type,importance_weight_norm,onetsrc_version,model_name,votes_per_task,vote_seeds,generated_utc
23-2011.00,18491,"Prepare affidavits or other documents, such as legal correspondence, and organize and maintain documents in paper or electronic filing system.",Core,67.0,08/2024,Incumbent,2024-08,4.38,95.74,Incumbent,Incumbent,62.0,67.0,2024-08,2024-08,Paralegals and Legal Assistants,"Assist lawyers by investigating facts, preparing legal documents, or researching legal precedent. Conduct research to support a legal proceeding, to formulate a defense, or to initiate legal action.",Paralegal And Legal Assistant,0708055337ce,True,4.A.3.b.6.I14.D03;4.A.3.b.6.I14.D09,Maintain the order of legal documents.;Prepare legal documents.,2,2.0,0.0,False,13,7,AbacusNext HotDocs; Adobe Acrobat; American LegalNet USCourtForms,Desktop computers; Image scanners; Laser facsimile machines,3,,5.0,4.79,4.69,2.86,2.75,4.54,20,"Legal Secretaries and Administrative Assistants; Title Examiners, Abstractors, and Searchers; Court Reporters and Simultaneous Captioners",Documenting/Recording Information; Working with Computers; Communicating with People Outside the Organization,TEXT,TEXT,TEXT,TEXT,3,False,1.0,True,Language-only I/O suffices.,LANGUAGE_ONLY,False,NONE,0.10110803324099722,30.0,gpt-4.1-mini-2025-04-14,3,"1,2,3",2025-09-08T16:32:28+00:00
23-2011.00,23994,"Prepare, edit, or review legal documents, including legislation, briefs, pleadings, appeals, wills, contracts, and real estate closing statements.",Core,67.0,08/2024,Incumbent,2024-08,4.32,88.54,Incumbent,Incumbent,62.0,67.0,2024-08,2024-08,Paralegals and Legal Assistants,"Assist lawyers by investigating facts, preparing legal documents, or researching legal precedent. Conduct research to support a legal proceeding, to formulate a defense, or to initiate legal action.",Paralegal And Legal Assistant,3a55f5ca0fa9,True,4.A.3.b.6.I14.D09,Prepare legal documents.,1,2.0,0.0,False,13,7,AbacusNext HotDocs; Adobe Acrobat; American LegalNet USCourtForms,Desktop computers; Image scanners; Laser facsimile machines,3,,5.0,4.79,4.69,2.86,2.75,4.54,20,"Legal Secretaries and Administrative Assistants; Title Examiners, Abstractors, and Searchers; Court Reporters and Simultaneous Captioners",Documenting/Recording Information; Working with Computers; Communicating with People Outside the Organization,TEXT,TEXT,TEXT,TEXT,3,False,1.0,True,Language-only I/O suffices.,LANGUAGE_ONLY,False,NONE,0.0997229916897507,30.0,gpt-4.1-mini-2025-04-14,3,"1,2,3",2025-09-08T16:32:28+00:00
23-2011.00,21062,"Investigate facts and law of cases and search pertinent sources, such as public records and internet sources, to determine causes of action and to prepare cases.",Core,67.0,08/2024,Incumbent,2024-08,4.06,71.63,Incumbent,Incumbent,43.0,67.0,2024-08,2024-08,Paralegals and Legal Assistants,"Assist lawyers by investigating facts, preparing legal documents, or researching legal precedent. Conduct research to support a legal proceeding, to formulate a defense, or to initiate legal action.",Paralegal And Legal Assistant,3db6d320b232,True,4.A.1.a.1.I05.D02,Research relevant legal materials to aid decision making.,1,2.0,0.0,False,13,7,AbacusNext HotDocs; Adobe Acrobat; American LegalNet USCourtForms,Desktop computers; Image scanners; Laser facsimile machines,3,,5.0,4.79,4.69,2.86,2.75,4.54,20,"Legal Secretaries and Administrative Assistants; Title Examiners, Abstractors, and Searchers; Court Reporters and Simultaneous Captioners",Documenting/Recording Information; Working with Computers; Communicating with People Outside the Organization,TEXT,TEXT,TEXT,TEXT,3,False,1.0,True,Language-only I/O suffices.,LANGUAGE_ONLY,False,NONE,0.09372114496768236,30.0,gpt-4.1-mini-2025-04-14,3,"1,2,3",2025-09-08T16:32:28+00:00
23-2011.00,18492,Prepare for trial by performing tasks such as organizing exhibits.,Core,67.0,08/2024,Incumbent,2024-08,3.97,82.12,Incumbent,Incumbent,48.0,67.0,2024-08,2024-08,Paralegals and Legal Assistants,"Assist lawyers by investigating facts, preparing legal documents, or researching legal precedent. Conduct research to support a legal proceeding, to formulate a defense, or to initiate legal action.",Paralegal And Legal Assistant,dc35566b3c16,True,4.A.2.a.4.I08.D01;4.A.3.b.6.I14.D06,Identify implications for cases from legal precedents or other legal information.;Prepare information or documentation related to legal or regulatory matters.,2,2.0,0.0,False,13,7,AbacusNext HotDocs; Adobe Acrobat; American LegalNet USCourtForms,Desktop computers; Image scanners; Laser facsimile machines,3,,5.0,4.79,4.69,2.86,2.75,4.54,20,"Legal Secretaries and Administrative Assistants; Title Examiners, Abstractors, and Searchers; Court Reporters and Simultaneous Captioners",Documenting/Recording Information; Working with Computers; Communicating with People Outside the Organization,MANUAL,MANUAL,MANUAL,MANUAL,3,False,1.0,False,Requires physical/manual action.,PHYSICAL_MANUAL,True,MANUAL,0.09164358264081256,30.0,gpt-4.1-mini-2025-04-14,3,"1,2,3",2025-09-08T16:32:28+00:00
23-2011.00,18493,Meet with clients and other professionals to discuss details of cases.,Core,67.0,08/2024,Incumbent,2024-08,3.93,77.11,Incumbent,Incumbent,47.0,67.0,2024-08,2024-08,Paralegals and Legal Assistants,"Assist lawyers by investigating facts, preparing legal documents, or researching legal precedent. Conduct research to support a legal proceeding, to formulate a defense, or to initiate legal action.",Paralegal And Legal Assistant,93eea469ed1a,True,4.A.4.a.2.I12.D01;4.A.4.a.2.I12.D02,Confer with court staff to clarify information.;Meet with individuals involved in legal processes to provide information and clarify issues.,2,2.0,0.0,False,13,7,AbacusNext HotDocs; Adobe Acrobat; American LegalNet USCourtForms,Desktop computers; Image scanners; Laser facsimile machines,3,,5.0,4.79,4.69,2.86,2.75,4.54,20,"Legal Secretaries and Administrative Assistants; Title Examiners, Abstractors, and Searchers; Court Reporters and Simultaneous Captioners",Documenting/Recording Information; Working with Computers; Communicating with People Outside the Organization,MANUAL,MANUAL,INCONCLUSIVE,MANUAL,2,True,0.6666666666666666,False,Requires physical/manual action.,PHYSICAL_MANUAL,True,MANUAL,0.09072022160664821,30.0,gpt-4.1-mini-2025-04-14,3,"1,2,3",2025-09-08T16:32:28+00:00
23-2011.00,1636,"Gather and analyze research data, such as statutes, decisions, and legal articles, codes, and documents.",Core,67.0,08/2024,Incumbent,2024-08,3.89,84.65,Incumbent,Incumbent,52.0,67.0,2024-08,2024-08,Paralegals and Legal Assistants,"Assist lawyers by investigating facts, preparing legal documents, or researching legal precedent. Conduct research to support a legal proceeding, to formulate a defense, or to initiate legal action.",Paralegal And Legal Assistant,9cebf9025932,True,4.A.1.a.1.I05.D01;4.A.1.a.1.I05.D02,Evaluate information related to legal matters in public or personal records.;Research relevant legal materials to aid decision making.,2,2.0,0.0,False,13,7,AbacusNext HotDocs; Adobe Acrobat; American LegalNet USCourtForms,Desktop computers; Image scanners; Laser facsimile machines,3,,5.0,4.79,4.69,2.86,2.75,4.54,20,"Legal Secretaries and Administrative Assistants; Title Examiners, Abstractors, and Searchers; Court Reporters and Simultaneous Captioners",Documenting/Recording Information; Working with Computers; Communicating with People Outside the Organization,TEXT,TEXT,TEXT,TEXT,3,False,1.0,True,Language-only I/O suffices.,LANGUAGE_ONLY,False,NONE,0.08979686057248384,30.0,gpt-4.1-mini-2025-04-14,3,"1,2,3",2025-09-08T16:32:28+00:00
23-2011.00,18494,File pleadings with court clerks.,Supplemental,66.0,08/2024,Incumbent,2024-08,3.89,61.02,Incumbent,Incumbent,38.0,66.0,2024-08,2024-08,Paralegals and Legal Assistants,"Assist lawyers by investigating facts, preparing legal documents, or researching legal precedent. Conduct research to support a legal proceeding, to formulate a defense, or to initiate legal action.",Paralegal And Legal Assistant,2e2364b781c0,True,4.A.4.c.1.I01.D10;4.A.4.c.1.I02.D02,Perform administrative or clerical tasks.;Serve court ordered documents.,2,2.0,0.0,False,13,7,AbacusNext HotDocs; Adobe Acrobat; American LegalNet USCourtForms,Desktop computers; Image scanners; Laser facsimile machines,3,,5.0,4.79,4.69,2.86,2.75,4.54,20,"Legal Secretaries and Administrative Assistants; Title Examiners, Abstractors, and Searchers; Court Reporters and Simultaneous Captioners",Documenting/Recording Information; Working with Computers; Communicating with People Outside the Organization,MANUAL,MANUAL,MANUAL,MANUAL,3,False,1.0,False,Requires physical/manual action.,PHYSICAL_MANUAL,True,MANUAL,0.08979686057248384,30.0,gpt-4.1-mini-2025-04-14,3,"1,2,3",2025-09-08T16:32:28+00:00
23-2011.00,1639,"Direct and coordinate law office activity, including delivery of subpoenas.",Supplemental,67.0,08/2024,Incumbent,2024-08,3.33,59.05,Incumbent,Incumbent,39.0,67.0,2024-08,2024-08,Paralegals and Legal Assistants,"Assist lawyers by investigating facts, preparing legal documents, or researching legal precedent. Conduct research to support a legal proceeding, to formulate a defense, or to initiate legal action.",Paralegal And Legal Assistant,db852c6edb22,True,4.A.4.b.4.I16.D03,Coordinate legal schedules or activities.,1,2.0,0.0,False,13,7,AbacusNext HotDocs; Adobe Acrobat; American LegalNet USCourtForms,Desktop computers; Image scanners; Laser facsimile machines,3,,5.0,4.79,4.69,2.86,2.75,4.54,20,"Legal Secretaries and Administrative Assistants; Title Examiners, Abstractors, and Searchers; Court Reporters and Simultaneous Captioners",Documenting/Recording Information; Working with Computers; Communicating with People Outside the Organization,MANUAL,MANUAL,MANUAL,MANUAL,3,False,1.0,False,Requires physical/manual action.,PHYSICAL_MANUAL,True,MANUAL,0.07686980609418283,30.0,gpt-4.1-mini-2025-04-14,3,"1,2,3",2025-09-08T16:32:28+00:00
23-2011.00,1638,Call upon witnesses to testify at hearings.,Supplemental,66.0,08/2024,Incumbent,2024-08,2.99,47.49,Incumbent,Incumbent,27.0,66.0,2024-08,2024-08,Paralegals and Legal Assistants,"Assist lawyers by investigating facts, preparing legal documents, or researching legal precedent. Conduct research to support a legal proceeding, to formulate a defense, or to initiate legal action.",Paralegal And Legal Assistant,d0cae5495d0f,True,4.A.4.a.3.I01.D02,Represent the interests of clients in legal proceedings.,1,2.0,0.0,False,13,7,AbacusNext HotDocs; Adobe Acrobat; American LegalNet USCourtForms,Desktop computers; Image scanners; Laser facsimile machines,3,,5.0,4.79,4.69,2.86,2.75,4.54,20,"Legal Secretaries and Administrative Assistants; Title Examiners, Abstractors, and Searchers; Court Reporters and Simultaneous Captioners",Documenting/Recording Information; Working with Computers; Communicating with People Outside the Organization,TEXT,TEXT,TEXT,TEXT,3,False,1.0,True,Language-only I/O suffices.,LANGUAGE_ONLY,False,NONE,0.06902123730378579,30.0,gpt-4.1-mini-2025-04-14,3,"1,2,3",2025-09-08T16:32:28+00:00
23-2011.00,18496,"Arbitrate disputes between parties and assist in the real estate closing process, such as by reviewing title searches.",Supplemental,66.0,08/2024,Incumbent,2024-08,2.99,28.97,Incumbent,Incumbent,20.0,66.0,2024-08,2024-08,Paralegals and Legal Assistants,"Assist lawyers by investigating facts, preparing legal documents, or researching legal precedent. Conduct research to support a legal proceeding, to formulate a defense, or to initiate legal action.",Paralegal And Legal Assistant,8b2ab848b21d,True,4.A.1.a.1.I05.D01;4.A.4.a.7.I01.D02,Arbitrate disputes between parties to resolve legal conflicts.;Evaluate information related to legal matters in public or personal records.,2,2.0,0.0,False,13,7,AbacusNext HotDocs; Adobe Acrobat; American LegalNet USCourtForms,Desktop computers; Image scanners; Laser facsimile machines,3,,5.0,4.79,4.69,2.86,2.75,4.54,20,"Legal Secretaries and Administrative Assistants; Title Examiners, Abstractors, and Searchers; Court Reporters and Simultaneous Captioners",Documenting/Recording Information; Working with Computers; Communicating with People Outside the Organization,TEXT,TEXT,TEXT,TEXT,3,False,1.0,True,Language-only I/O suffices.,LANGUAGE_ONLY,False,NONE,0.06902123730378579,30.0,gpt-4.1-mini-2025-04-14,3,"1,2,3",2025-09-08T16:32:28+00:00
