uid,occupation,variant,temp,model,modality,file,wrapper_strict,wrapper_rescued,schema_strict,schema_rescued,safety_strict,safety_rescued,rubric_score,iou,is_manual_stub
faa67d8f,Business Intelligence Analysts,1,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/faa67d8f_v1_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,
47817359,"Bookkeeping, Accounting, and Auditing Clerks",0,0.0,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/47817359_v0_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,
27910ee5,Logisticians,1,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/27910ee5_v1_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,
0dd1e9ca,Business Intelligence Analysts,1,0.0,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/0dd1e9ca_v1_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,2.0,,
bbf22c00,"Bookkeeping, Accounting, and Auditing Clerks",2,0.0,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/bbf22c00_v2_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,
8fc9d168,Logisticians,0,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/8fc9d168_v0_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,
936aa3e5,"Bookkeeping, Accounting, and Auditing Clerks",0,0.5,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/936aa3e5_v0_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,1.0,,
2bc72355,"Elementary School Teachers, Except Special Education",2,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/2bc72355_v2_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,
d21fc252,"Shipping, Receiving, and Inventory Clerks",0,0.0,gemini-2.5-flash-preview-05-20,VISION,gemini/gemini-2.5-flash-preview-05-20/d21fc252_v0_t0_0.json,1.0,1.0,0.0,0.0,0.0,0.0,,,
9cebf902,Paralegals and Legal Assistants,1,0.0,gemini-2.5-flash-preview-05-20,TEXT,gemini/gemini-2.5-flash-preview-05-20/9cebf902_v1_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,
85a846ff,Medical Secretaries and Administrative Assistants,0,0.5,gemini-2.5-flash-preview-05-20,GUI,gemini/gemini-2.5-flash-preview-05-20/85a846ff_v0_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,
