uid,occupation,variant,temp,model,modality,file,wrapper_strict,wrapper_rescued,schema_strict,schema_rescued,safety_strict,safety_rescued,rubric_score,iou,is_manual_stub
93eea469,Paralegals and Legal Assistants,1,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/93eea469_v1_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0
8b2ab848,Paralegals and Legal Assistants,2,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/8b2ab848_v2_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0
3a55f5ca,Paralegals and Legal Assistants,2,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/3a55f5ca_v2_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,4.0,,0
9cebf902,Paralegals and Legal Assistants,1,0.0,o3-2025-04-16,TEXT,o3-2025-04-16/9cebf902_v1_t0_0.json,0.0,0.0,1.0,1.0,0.0,0.0,5.0,,0
d0cae549,Paralegals and Legal Assistants,1,0.0,o3-2025-04-16,TEXT,o3-2025-04-16/d0cae549_v1_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0
7dda7be5,Paralegals and Legal Assistants,1,0.0,o3-2025-04-16,TEXT,o3-2025-04-16/7dda7be5_v1_t0_0.json,0.0,0.0,1.0,1.0,0.0,0.0,5.0,,0
3dfcc5c3,Paralegals and Legal Assistants,0,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/3dfcc5c3_v0_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0
2e2364b7,Paralegals and Legal Assistants,2,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/2e2364b7_v2_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0
07080553,Paralegals and Legal Assistants,0,0.0,o3-2025-04-16,TEXT,o3-2025-04-16/07080553_v0_t0_0.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0
8b2ab848,Paralegals and Legal Assistants,0,0.0,o3-2025-04-16,TEXT,o3-2025-04-16/8b2ab848_v0_t0_0.json,0.0,0.0,1.0,1.0,0.0,0.0,5.0,,0
dc35566b,Paralegals and Legal Assistants,1,0.5,o3-2025-04-16,TEXT,o3-2025-04-16/dc35566b_v1_t0_5.json,1.0,1.0,1.0,1.0,0.0,0.0,5.0,,0
