DWA_ID,IWA_ID,GWA_ID,IWA_Title,GWA_Title
4.A.2.a.4.I09.D03,4.A.2.a.4.I09,4.A.2.a.4,Assess characteristics or impacts of regulations or policies.,Analyzing Data or Information
4.A.4.b.6.I08.D04,4.A.4.b.6.I08,4.A.4.b.6,Advise others on legal or regulatory matters.,Providing Consultation and Advice to Others
4.A.4.b.4.I09.D02,4.A.4.b.4.I09,4.A.4.b.4,Manage budgets or finances.,"Guiding, Directing, and Motivating Subordinates"
4.A.4.a.2.I03.D14,4.A.4.a.2.I03,4.A.4.a.2,Communicate with others about operational plans or activities.,"Communicating with Supervisors, Peers, or Subordinates"
4.A.2.a.4.I07.D09,4.A.2.a.4.I07,4.A.2.a.4,Analyze data to improve operations.,Analyzing Data or Information
4.A.2.b.1.I09.D01,4.A.2.b.1.I09,4.A.2.b.1,Implement procedures or processes.,Making Decisions and Solving Problems
4.A.2.b.4.I01.D01,4.A.2.b.4.I01,4.A.2.b.4,"Develop organizational policies, systems, or processes.",Developing Objectives and Strategies
4.A.4.b.4.I12.D39,4.A.4.b.4.I12,4.A.4.b.4,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates"
4.A.4.b.4.I09.D04,4.A.4.b.4.I09,4.A.4.b.4,Manage budgets or finances.,"Guiding, Directing, and Motivating Subordinates"
4.A.4.b.4.I12.D03,4.A.4.b.4.I12,4.A.4.b.4,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates"
4.A.4.a.7.I02.D04,4.A.4.a.7.I02,4.A.4.a.7,Negotiate contracts or agreements.,Resolving Conflicts and Negotiating with Others
4.A.2.a.4.I07.D12,4.A.2.a.4.I07,4.A.2.a.4,Analyze data to improve operations.,Analyzing Data or Information
4.A.4.b.4.I13.D02,4.A.4.b.4.I13,4.A.4.b.4,Assign work to others.,"Guiding, Directing, and Motivating Subordinates"
4.A.4.b.4.I07.D04,4.A.4.b.4.I07,4.A.4.b.4,Manage human resources activities.,"Guiding, Directing, and Motivating Subordinates"
4.A.4.b.4.I02.D01,4.A.4.b.4.I02,4.A.4.b.4,Serve on organizational committees.,"Guiding, Directing, and Motivating Subordinates"
4.A.3.b.6.I01.D02,4.A.3.b.6.I01,4.A.3.b.6,"Prepare financial documents, reports, or budgets.",Documenting/Recording Information
4.A.3.b.6.I15.D06,4.A.3.b.6.I15,4.A.3.b.6,Prepare reports of operational or procedural activities.,Documenting/Recording Information
4.A.2.b.4.I01.D03,4.A.2.b.4.I01,4.A.2.b.4,"Develop organizational policies, systems, or processes.",Developing Objectives and Strategies
4.A.4.a.2.I03.D09,4.A.4.a.2.I03,4.A.4.a.2,Communicate with others about operational plans or activities.,"Communicating with Supervisors, Peers, or Subordinates"
4.A.4.a.7.I03.D01,4.A.4.a.7.I03,4.A.4.a.7,Resolve personnel or operational problems.,Resolving Conflicts and Negotiating with Others
4.A.4.b.4.I12.D17,4.A.4.b.4.I12,4.A.4.b.4,"Direct organizational operations, activities, or procedures.","Guiding, Directing, and Motivating Subordinates"
4.A.4.a.3.I02.D03,4.A.4.a.3.I02,4.A.4.a.3,Provide information or assistance to the public.,Communicating with People Outside the Organization
4.A.4.c.2.I01.D06,4.A.4.c.2.I01,4.A.4.c.2,Perform recruiting or hiring activities.,Staffing Organizational Units
4.A.4.a.1.I02.D03,4.A.4.a.1.I02,4.A.4.a.1,"Explain regulations, policies, or procedures.",Interpreting the Meaning of Information for Others
4.A.4.a.2.I11.D04,4.A.4.a.2.I11,4.A.4.a.2,"Coordinate activities with clients, agencies, or organizations.","Communicating with Supervisors, Peers, or Subordinates"
4.A.4.b.6.I05.D07,4.A.4.b.6.I05,4.A.4.b.6,Advise others on business or operational matters.,Providing Consultation and Advice to Others
4.A.4.b.4.I10.D07,4.A.4.b.4.I10,4.A.4.b.4,Direct construction or extraction activities.,"Guiding, Directing, and Motivating Subordinates"
4.A.1.a.1.I18.D03,4.A.1.a.1.I18,4.A.1.a.1,Research historical or social issues.,Getting Information
4.A.1.a.1.I20.D04,4.A.1.a.1.I20,4.A.1.a.1,Research technology designs or applications.,Getting Information
4.A.4.a.2.I11.D09,4.A.4.a.2.I11,4.A.4.a.2,"Coordinate activities with clients, agencies, or organizations.","Communicating with Supervisors, Peers, or Subordinates"
