SOC,kind,family_code,family_title,count
23-2011.00,tech,43230000,Software,99
43-4051.00,tech,43230000,Software,113
51-9061.00,tech,43230000,Software,42
23-2011.00,tool,43210000,,6
23-2011.00,tool,44100000,,2
43-4051.00,tool,43190000,,3
43-4051.00,tool,43210000,,3
43-4051.00,tool,43220000,,7
43-4051.00,tool,44100000,,1
43-4051.00,tool,52160000,,1
51-9061.00,tool,20120000,,1
51-9061.00,tool,24100000,,3
51-9061.00,tool,26140000,,1
51-9061.00,tool,31240000,,1
51-9061.00,tool,39120000,,1
51-9061.00,tool,40150000,,1
51-9061.00,tool,41100000,,2
51-9061.00,tool,41110000,,75
51-9061.00,tool,43210000,,2
51-9061.00,tool,44100000,,1
