uid,model,variant,temperature,modality,strict,rescued,schema_status,file
93eea469,o3-2025-04-16,1,0.5,TEXT,1,1,strict,o3-2025-04-16/93eea469_v1_t0_5.json
8b2ab848,o3-2025-04-16,2,0.5,TEXT,1,1,strict,o3-2025-04-16/8b2ab848_v2_t0_5.json
3a55f5ca,o3-2025-04-16,2,0.5,TEXT,1,1,strict,o3-2025-04-16/3a55f5ca_v2_t0_5.json
9cebf902,o3-2025-04-16,1,0.0,TEXT,1,1,strict,o3-2025-04-16/9cebf902_v1_t0_0.json
d0cae549,o3-2025-04-16,1,0.0,TEXT,1,1,strict,o3-2025-04-16/d0cae549_v1_t0_0.json
7dda7be5,o3-2025-04-16,1,0.0,TEXT,1,1,strict,o3-2025-04-16/7dda7be5_v1_t0_0.json
3dfcc5c3,o3-2025-04-16,0,0.5,TEXT,1,1,strict,o3-2025-04-16/3dfcc5c3_v0_t0_5.json
2e2364b7,o3-2025-04-16,2,0.5,TEXT,1,1,strict,o3-2025-04-16/2e2364b7_v2_t0_5.json
07080553,o3-2025-04-16,0,0.0,TEXT,1,1,strict,o3-2025-04-16/07080553_v0_t0_0.json
8b2ab848,o3-2025-04-16,0,0.0,TEXT,1,1,strict,o3-2025-04-16/8b2ab848_v0_t0_0.json
dc35566b,o3-2025-04-16,1,0.5,TEXT,1,1,strict,o3-2025-04-16/dc35566b_v1_t0_5.json
3a55f5ca,o3-2025-04-16,0,0.0,TEXT,1,1,strict,o3-2025-04-16/3a55f5ca_v0_t0_0.json
db852c6e,o3-2025-04-16,1,0.0,TEXT,1,1,strict,o3-2025-04-16/db852c6e_v1_t0_0.json
2e2364b7,o3-2025-04-16,0,0.0,TEXT,1,1,strict,o3-2025-04-16/2e2364b7_v0_t0_0.json
07080553,o3-2025-04-16,2,0.5,TEXT,1,1,strict,o3-2025-04-16/07080553_v2_t0_5.json
3db6d320,o3-2025-04-16,1,0.5,TEXT,1,1,strict,o3-2025-04-16/3db6d320_v1_t0_5.json
3dfcc5c3,o3-2025-04-16,2,0.0,TEXT,1,1,strict,o3-2025-04-16/3dfcc5c3_v2_t0_0.json
93eea469,o3-2025-04-16,0,0.5,TEXT,1,1,strict,o3-2025-04-16/93eea469_v0_t0_5.json
9cebf902,o3-2025-04-16,0,0.0,TEXT,1,1,strict,o3-2025-04-16/9cebf902_v0_t0_0.json
dc35566b,o3-2025-04-16,2,0.0,TEXT,1,1,strict,o3-2025-04-16/dc35566b_v2_t0_0.json
db852c6e,o3-2025-04-16,2,0.5,TEXT,1,1,strict,o3-2025-04-16/db852c6e_v2_t0_5.json
3dfcc5c3,o3-2025-04-16,1,0.5,TEXT,1,1,strict,o3-2025-04-16/3dfcc5c3_v1_t0_5.json
d0cae549,o3-2025-04-16,0,0.0,TEXT,1,1,strict,o3-2025-04-16/d0cae549_v0_t0_0.json
7dda7be5,o3-2025-04-16,0,0.0,TEXT,1,1,strict,o3-2025-04-16/7dda7be5_v0_t0_0.json
3db6d320,o3-2025-04-16,2,0.0,TEXT,1,1,strict,o3-2025-04-16/3db6d320_v2_t0_0.json
07080553,o3-2025-04-16,1,0.0,TEXT,1,1,strict,o3-2025-04-16/07080553_v1_t0_0.json
8b2ab848,o3-2025-04-16,1,0.0,TEXT,1,1,strict,o3-2025-04-16/8b2ab848_v1_t0_0.json
3a55f5ca,o3-2025-04-16,1,0.0,TEXT,1,1,strict,o3-2025-04-16/3a55f5ca_v1_t0_0.json
db852c6e,o3-2025-04-16,0,0.0,TEXT,1,1,strict,o3-2025-04-16/db852c6e_v0_t0_0.json
9cebf902,o3-2025-04-16,2,0.5,TEXT,1,1,strict,o3-2025-04-16/9cebf902_v2_t0_5.json
dc35566b,o3-2025-04-16,0,0.5,TEXT,1,1,strict,o3-2025-04-16/dc35566b_v0_t0_5.json
93eea469,o3-2025-04-16,2,0.0,TEXT,1,1,strict,o3-2025-04-16/93eea469_v2_t0_0.json
2e2364b7,o3-2025-04-16,1,0.0,TEXT,1,1,strict,o3-2025-04-16/2e2364b7_v1_t0_0.json
d0cae549,o3-2025-04-16,2,0.5,TEXT,1,1,strict,o3-2025-04-16/d0cae549_v2_t0_5.json
7dda7be5,o3-2025-04-16,2,0.5,TEXT,1,1,strict,o3-2025-04-16/7dda7be5_v2_t0_5.json
3db6d320,o3-2025-04-16,0,0.5,TEXT,1,1,strict,o3-2025-04-16/3db6d320_v0_t0_5.json
8b2ab848,o3-2025-04-16,0,0.5,TEXT,1,1,strict,o3-2025-04-16/8b2ab848_v0_t0_5.json
3a55f5ca,o3-2025-04-16,0,0.5,TEXT,1,1,strict,o3-2025-04-16/3a55f5ca_v0_t0_5.json
db852c6e,o3-2025-04-16,1,0.5,TEXT,1,1,strict,o3-2025-04-16/db852c6e_v1_t0_5.json
dc35566b,o3-2025-04-16,1,0.0,TEXT,1,1,strict,o3-2025-04-16/dc35566b_v1_t0_0.json
2e2364b7,o3-2025-04-16,0,0.5,TEXT,1,1,strict,o3-2025-04-16/2e2364b7_v0_t0_5.json
07080553,o3-2025-04-16,2,0.0,TEXT,1,1,strict,o3-2025-04-16/07080553_v2_t0_0.json
3db6d320,o3-2025-04-16,1,0.0,TEXT,1,1,strict,o3-2025-04-16/3db6d320_v1_t0_0.json
3dfcc5c3,o3-2025-04-16,2,0.5,TEXT,1,1,strict,o3-2025-04-16/3dfcc5c3_v2_t0_5.json
93eea469,o3-2025-04-16,1,0.0,TEXT,1,1,strict,o3-2025-04-16/93eea469_v1_t0_0.json
8b2ab848,o3-2025-04-16,2,0.0,TEXT,1,1,strict,o3-2025-04-16/8b2ab848_v2_t0_0.json
9cebf902,o3-2025-04-16,1,0.5,TEXT,1,1,strict,o3-2025-04-16/9cebf902_v1_t0_5.json
3a55f5ca,o3-2025-04-16,2,0.0,TEXT,1,1,strict,o3-2025-04-16/3a55f5ca_v2_t0_0.json
d0cae549,o3-2025-04-16,1,0.5,TEXT,1,1,strict,o3-2025-04-16/d0cae549_v1_t0_5.json
7dda7be5,o3-2025-04-16,1,0.5,TEXT,1,1,strict,o3-2025-04-16/7dda7be5_v1_t0_5.json
3dfcc5c3,o3-2025-04-16,0,0.0,TEXT,1,1,strict,o3-2025-04-16/3dfcc5c3_v0_t0_0.json
2e2364b7,o3-2025-04-16,2,0.0,TEXT,1,1,strict,o3-2025-04-16/2e2364b7_v2_t0_0.json
